Carballes Baena R.,-5,1578.0883833292341
Cerundolo F.,-2,1477.1179371437938
Millman J.,-19,1660.886216145261
Mannarino A.,-24,1646.345487988676
Rublev A.,47,1982.5889200883937
Sonego L.,-6,1652.3886353796888
Anderson K.,64,1785.6768091019396
Tiafoe F.,-21,1658.8785456654339
Ruusuvuori E.,-3,1514.580263297937
Evans D.,2,1737.5418075449616
Djokovic N.,617,2167.0119003667774
Thiem D.,121,2008.2956191596243
Medvedev D.,46,1873.7022916519688
Gerasimov E.,4,1654.0556074644444
Paul T.,-3,1621.2743809048904
Mcdonald M.,-12,1528.8937197035782
Kukushkin M.,-46,1598.6913731496882
Dimitrov G.,74,1820.908621139753
Sugita Y.,-14,1636.95938231523
Paire B.,-2,1571.6226579459924
Thompson J.,-15,1591.5032207830081
Seppi A.,-19,1617.7715861951615
Tsitsipas S.,37,1923.5134770586074
Garin C.,15,1733.9733534346765
Sinner J.,2,1716.9973767760741
Pospisil V.,-24,1716.5775473133074
Hurkacz H.,1,1656.383118737314
Rodionov J.,-2,1510.646413979604
Jung J.,-9,1456.821743494954
Ruud C.,-3,1731.8806305483142
Carreno Busta P.,41,1825.1119700069585
Coric B.,4,1728.265069350777
Auger-Aliassime F.,18,1758.1014396902442
Verdasco F.,115,1637.144140367878
Vesely J.,-14,1619.814338781852
Kecmanovic M.,7,1681.3178655447887
Albot R.,-22,1597.8779370004954
Bublik A.,-6,1631.37712686054
Delbonis F.,-8,1572.9944334538486
Struff J.L.,-23,1672.4239297577521
Skatov T.,-1,1500.0
Harris L.,-6,1634.125602713012
Sandgren T.,-12,1580.0053203473803
Dzumhur D.,-7,1512.7291143676412
Karatsev A.,-5,1485.639382760698
Wawrinka S.,191,1826.8672627255526
Khachanov K.,12,1725.4729792077335
Balazs A.,5,1616.1676134693887
Krajinovic F.,6,1748.5136381190534
Bedene A.,-13,1667.9573302664426
Lajovic D.,-35,1576.0141788020098
Sachko V.,-1,1500.0
Norrie C.,-12,1578.4869567694734
Popko D.,-1,1500.0
Duckworth J.,-19,1490.7477870467078
Travaglia S.,-9,1542.3771452943201
Novak D.,-15,1437.1564067693046
Fritz T.,-4,1653.2390005003822
Shapovalov D.,12,1781.4803238214843
Gombos N.,-12,1522.152805159379
Monfils G.,178,1796.4166858310534
Moutet C.,-7,1552.488664866113
Humbert U.,5,1739.6870721712883
De Minaur A.,18,1780.4463186110108
Zverev A.,89,1910.114569280837
Schwartzman D.,32,1869.4852232202893
